From, To, Jaccard
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.25925925925925924
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.2692307692307692
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.19047619047619047
src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.28
src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.24
src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.2777777777777778
src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.65
src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.25
src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.2631578947368421
src\main\java\util\ASMClassReader.java, src\main\java\util\ReflectionClassReader.java, 0.17647058823529413
